GVT,Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
4345.355156,0,1,3,3.000000,256,0,57,0,71.356784,0,0.000000,36,18.090452,17,9,8,1,199,64,116
4374.046570,0,1,3,3.000000,256,0,119,0,13.138686,0,0.000000,22,16.058394,26,14,12,1,137,94,83
4406.331123,0,1,3,3.000000,256,0,90,0,45.783133,0,0.000000,34,20.481928,20,11,9,1,166,100,64
4436.754656,0,1,3,3.000000,256,0,123,0,7.518797,0,0.000000,20,15.037594,20,10,10,1,133,88,70
4465.434826,0,1,3,3.000000,256,0,112,0,22.222222,0,0.000000,24,16.666667,24,11,13,1,144,82,95
4497.408106,0,1,3,3.000000,256,0,103,0,32.679739,0,0.000000,27,17.647059,28,12,16,1,153,75,71
4526.989329,0,1,3,3.000000,256,0,104,0,31.578947,0,0.000000,27,17.763158,25,8,17,1,152,71,69
4560.643088,0,1,3,3.000000,256,0,62,0,68.041237,0,0.000000,34,17.525773,20,9,11,1,194,70,85
4588.230789,0,1,3,3.000000,256,0,74,0,59.340659,0,0.000000,35,19.230769,18,9,9,1,182,73,62
4615.173169,0,1,3,3.000000,256,0,102,0,33.766234,0,0.000000,26,16.883117,18,13,5,1,154,96,80
4650.992233,0,1,3,3.000000,256,0,106,0,29.333333,0,0.000000,29,19.333333,25,10,15,1,150,97,72
4679.027912,0,1,3,3.000000,256,0,105,0,30.463576,0,0.000000,29,19.205298,22,11,11,1,151,95,85
4703.543016,0,1,3,3.000000,256,0,122,0,8.955224,0,0.000000,23,17.164179,27,11,16,1,134,73,71
4733.505708,0,1,3,3.000000,256,0,129,0,-1.574803,0,0.000000,25,19.685039,29,9,20,1,127,91,74
4763.822323,0,1,3,3.000000,256,0,123,0,7.518797,0,0.000000,22,16.541353,30,11,19,1,133,62,53
4792.379324,0,1,3,3.000000,256,0,54,0,73.267327,0,0.000000,31,15.346535,13,6,7,1,202,51,69
4829.516668,0,1,3,3.000000,256,0,66,0,65.263158,0,0.000000,33,17.368421,19,12,7,1,190,59,63
4856.428768,0,1,3,3.000000,256,0,91,0,44.848485,0,0.000000,23,13.939394,22,7,15,1,165,67,70
4894.341198,0,1,3,3.000000,256,0,103,0,32.679739,0,0.000000,20,13.071895,26,12,14,1,153,72,54
4923.360153,0,1,3,3.000000,256,0,95,0,40.993789,0,0.000000,22,13.664596,25,13,12,1,161,80,82
4957.462363,0,1,3,3.000000,256,0,74,0,59.340659,0,0.000000,28,15.384615,19,12,7,1,182,64,61
4986.474063,0,1,3,3.000000,256,0,114,0,19.718310,0,0.000000,23,16.197183,24,10,14,1,142,89,77
5018.538963,0,1,3,3.000000,256,0,108,0,27.027027,0,0.000000,27,18.243243,31,15,16,1,148,81,61
5045.735215,0,1,3,3.000000,256,0,66,0,65.263158,0,0.000000,32,16.842105,15,6,9,1,190,66,72
5072.506464,0,1,3,3.000000,256,0,114,0,19.718310,0,0.000000,22,15.492958,25,14,11,1,142,86,64
5100.810482,0,1,3,3.000000,256,0,109,0,25.850340,0,0.000000,27,18.367347,28,14,14,1,147,89,94
5132.255798,0,1,3,3.000000,256,0,86,0,49.411765,0,0.000000,31,18.235294,20,12,8,1,170,79,55
5163.381776,0,1,3,3.000000,256,0,127,0,1.550388,0,0.000000,23,17.829457,29,10,19,1,129,73,89
5178.385418,0,1,3,3.000000,256,0,168,0,-90.909091,0,0.000000,14,15.909091,38,16,22,1,88,110,72
5213.286443,0,1,3,3.000000,256,0,119,0,13.138686,0,0.000000,25,18.248175,30,12,18,1,137,79,94
5248.799780,0,1,3,3.000000,256,0,92,0,43.902439,0,0.000000,30,18.292683,22,13,9,1,164,86,87
5273.447115,0,1,3,3.000000,256,0,84,0,51.162791,0,0.000000,35,20.348837,19,12,7,1,172,87,75
5301.976628,0,1,3,3.000000,256,0,97,0,38.993711,0,0.000000,30,18.867925,19,10,9,1,159,84,70
5326.282897,0,1,3,3.000000,256,0,129,0,-1.574803,0,0.000000,20,15.748031,33,10,23,1,127,98,62
5352.510420,0,1,3,3.000000,256,0,118,0,14.492754,0,0.000000,20,14.492754,22,11,11,1,138,98,76
5374.790153,0,1,3,3.000000,256,0,122,0,8.955224,0,0.000000,27,20.149254,29,11,18,1,134,85,85
5393.380204,0,1,3,3.000000,256,0,159,0,-63.917526,0,0.000000,19,19.587629,30,10,20,1,97,95,74
5415.986052,0,1,3,3.000000,256,0,125,0,4.580153,0,0.000000,20,15.267176,29,11,18,1,131,80,112
5452.594064,0,1,3,3.000000,256,0,62,0,68.041237,0,0.000000,35,18.041237,14,5,9,1,194,83,54
