gvt, PE_0, PE_1, PE_2, PE_3, PE_4, PE_5, PE_6, PE_7, PE_8, PE_9, PE_10, PE_11, PE_12, PE_13, PE_14, PE_15
92008.609375, 76, 65, 73, 65, 80, 69, 91, 78, 68, 78, 67, 59, 89, 60, 83, 103
92042.656250, 76, 65, 62, 72, 75, 74, 73, 74, 73, 68, 73, 61, 87, 59, 55, 74
92072.843750, 50, 53, 57, 58, 70, 67, 54, 65, 62, 65, 55, 60, 66, 59, 45, 65
92102.898438, 63, 71, 72, 70, 71, 66, 60, 59, 60, 77, 67, 57, 54, 78, 47, 90
92133.390625, 64, 62, 76, 58, 52, 61, 68, 64, 58, 66, 66, 61, 59, 42, 66, 77
92163.632812, 46, 69, 62, 52, 44, 48, 60, 59, 65, 49, 44, 53, 56, 53, 59, 56
92198.414062, 66, 71, 61, 58, 68, 74, 58, 70, 56, 70, 59, 58, 83, 56, 55, 72
92230.757812, 77, 55, 67, 71, 63, 61, 76, 64, 62, 52, 56, 66, 75, 58, 58, 65
92272.828125, 91, 104, 97, 107, 89, 80, 89, 74, 90, 85, 78, 77, 114, 70, 98, 113
92304.875000, 73, 66, 77, 57, 73, 59, 65, 70, 78, 51, 69, 67, 79, 81, 64, 66
92334.242188, 64, 63, 71, 66, 71, 52, 50, 68, 49, 54, 61, 50, 62, 60, 49, 50
92367.031250, 63, 83, 68, 74, 77, 77, 71, 67, 88, 60, 63, 71, 63, 76, 54, 59
92402.000000, 57, 60, 63, 58, 68, 68, 56, 58, 66, 52, 64, 63, 65, 59, 65, 74
92435.468750, 67, 71, 82, 66, 83, 70, 79, 66, 67, 64, 61, 59, 86, 70, 71, 72
92469.171875, 74, 74, 59, 83, 62, 50, 55, 65, 95, 65, 72, 54, 82, 67, 54, 60
92500.007812, 64, 60, 55, 58, 55, 61, 64, 54, 57, 51, 62, 62, 67, 55, 51, 67
92535.601562, 85, 62, 79, 61, 70, 67, 76, 78, 89, 60, 81, 64, 69, 78, 63, 62
92568.429688, 67, 57, 59, 57, 53, 70, 71, 63, 79, 68, 76, 58, 66, 46, 57, 82
92601.312500, 56, 65, 70, 64, 62, 65, 68, 73, 61, 72, 70, 64, 82, 59, 70, 79
92634.976562, 66, 76, 64, 70, 54, 65, 70, 94, 54, 78, 63, 70, 99, 56, 67, 72
92658.515625, 55, 46, 45, 48, 60, 54, 53, 41, 55, 36, 69, 55, 57, 62, 71, 57
92692.992188, 71, 78, 78, 71, 55, 58, 84, 73, 76, 93, 71, 53, 80, 68, 72, 67
92725.601562, 70, 95, 82, 84, 81, 86, 74, 70, 111, 78, 93, 64, 94, 62, 86, 90
92759.281250, 68, 67, 69, 80, 67, 96, 92, 75, 75, 88, 92, 60, 75, 59, 86, 69
92793.000000, 64, 64, 82, 60, 64, 60, 71, 64, 68, 46, 67, 65, 75, 63, 64, 61
92818.710938, 59, 64, 63, 64, 55, 73, 61, 51, 41, 52, 48, 51, 46, 57, 55, 48
92860.648438, 77, 64, 90, 77, 67, 69, 77, 82, 65, 70, 59, 73, 59, 70, 77, 93
92888.375000, 65, 69, 66, 63, 72, 62, 69, 61, 94, 63, 64, 55, 53, 58, 73, 98
92922.781250, 74, 59, 76, 58, 65, 67, 67, 56, 87, 64, 56, 75, 78, 56, 60, 80
92952.453125, 57, 59, 63, 74, 54, 63, 47, 46, 66, 46, 55, 60, 60, 53, 65, 53
92988.695312, 64, 70, 83, 81, 93, 70, 76, 67, 78, 63, 71, 80, 59, 73, 76, 61
93021.648438, 80, 66, 77, 56, 83, 75, 78, 68, 83, 87, 66, 66, 60, 69, 63, 75
93056.875000, 79, 68, 76, 66, 69, 57, 63, 71, 63, 70, 63, 76, 80, 61, 61, 85
93088.234375, 71, 61, 67, 60, 72, 66, 69, 57, 78, 58, 66, 72, 61, 51, 56, 68
93117.156250, 46, 61, 54, 66, 66, 52, 54, 53, 45, 63, 50, 55, 42, 43, 52, 57
93157.054688, 74, 70, 69, 66, 64, 80, 55, 72, 65, 71, 66, 62, 65, 69, 80, 62
93187.257812, 79, 68, 94, 74, 61, 72, 68, 66, 79, 80, 86, 64, 59, 56, 67, 73
